"Peak_ID","Mass","RT","relation.ship","codadw","charge","peakid","identification"
29,130.0266469,11.2633864866667,"CO2",0.983136234,NA,29,"""GLUTARATE,  glutaconic acid,  HMDB00634,  HMDB00620,  HMDB00749,  C01732,  HMDB02092,  CPD-2461,  itaconic acid,  C00433,  C00490,  StdMix3_7,  citraconic acid,  StdMix2_61,  CPD-654,  mesaconic acid,  C02800,  C02214,  C02226,  C02132"""
30,148.0372086,10.40980824,"bp",0.988415131,1,30,"""L-XYLONO-14-LACTONE,  C06029,  C06032,  C06031,  HMDB00426,  HMDB00428,  HMDB00606,  HMDB00694,  C03826,  C01114,  C01087,  L-ARABINO-1-5-LACTONE,  C03196,  StdMix1_60,  C05405,  HMDB11676,  HMDB01900,  D-XYLONO-14-LACTONE,  C00816,  C00815,  C02994,  CPD-356,  C00684,  CPD-368,  CPD-360,  C00652,  C02612,  C02614,  C02630,  C02753,  C02754,  C02266,  CPD-13413"""
31,284.2714987,3.59244408333333,"double bond",0.989755645,NA,31,"""HMDB00827,  C01530,  stearate"""
32,206.1307579,3.88983324833333,"bp",0.972831696,1,32,"""C01588,  HMDB01925,  C02185"""
33,159.0446447,4.25829481333333,"fragment?",0.976856815,NA,33,""
34,303.147275,4.32412558166667,"bp",0.986800953,1,34,"""C08523,  C01851,  C01416,  CPD-9776,  HMDB03573,  SCOPOLAMINE,  C12172"""
35,195.0532078,7.08274936,"bp",0.982743274,1,35,"""C04274,  HMDB00840,  PNP-PROPIONATE,  HMDB02404,  HMDB02016,  HMDB04067,  CPD-6404,  C05604,  C05605,  C05606,  DOPAQUINONE,  HMDB06116,  C07588,  C00822,  HMDB01229"""
36,283.2592391,3.62546862166667,"285.27-H2",0.981719325,NA,36,""
37,171.8405789,10.1785120533333,"bp",0.983328387,1,37,""
38,288.1555653,3.81830343666667,"bp",0.973278324,1,38,""
39,218.0556704,10.25319029,"bp",0.974386165,1,39,""
40,287.1521795,3.81633426333333,"bp",0.973764881,1,40,"""C08526,  C11782,  C07239,  C09223,  C12195"""
41,212.0686396,4.81683112,"potential bp",0.957542814,NA,41,"""HMDB00913,  CPD-11831,  C11155,  CPD-6542,  C10674,  vanillactic acid"""
42,188.0144173,4.4661317,"bp",0.996818976,1,42,"C06678"
43,173.9652108,22.6441459333333,"bp",0.993284257,1,43,""
44,254.224745,3.65425702833333,"256.24-H2",0.982175061,NA,44,"""HMDB10735,  C08362,  HMDB12328,  HMDB02186,  palmitelaidic acid,  HMDB03229"""
45,138.0317078,5.503803385,"bp",0.994394627,1,45,"""3-HYDROXYBENZOATE,  HMDB00500,  HMDB02466,  HMDB04062,  C05585,  CPD-7616,  HMDB01895,  C10832,  C00805,  CPD-110,  C00587,  C00156,  C16700,  4-hydroxybenzoate"""
46,156.0171885,8.27921957666667,"bp",0.97672349,1,46,"""HMDB00226,  C03030,  StdMix1_68,  C00295,  OROTATE"""
47,195.0532423,4.95826648666667,"oxidation/reduction",0.974494813,NA,47,"""C04274,  HMDB00840,  PNP-PROPIONATE,  HMDB02404,  HMDB02016,  HMDB04067,  CPD-6404,  C05604,  C05605,  C05606,  DOPAQUINONE,  HMDB06116,  C07588,  C00822,  HMDB01229"""
48,125.0146109,10.7274975666667,"bp",0.957454921,1,48,"""HMDB00251,  TAURINE,  StdMix1_24,  taurine,  C00245,  STD_TAURINE"""
49,173.8373765,10.191525215,"potential bp",0.977667018,NA,49,""
50,118.0630298,6.96996100333333,"fragment?",0.937791236,NA,50,"""HMDB00410,  HMDB00407,  HMDB00531,  HMDB00642,  HMDB00754,  HMDB00396,  HMDB00351,  HMDB00354,  HMDB02011,  HMDB01863,  HMDB01987,  C02804"""
51,214.0301488,3.84176638333333,"bp",0.957967629,1,51,""
52,134.0215336,10.918720695,"bp",0.961183418,1,52,"""MAL,  HMDB00744,  HMDB00156,  C03064,  malic acid,  C00711,  C00497,  StdMix2_68,  C00149"""
53,230.0943661,4.23753754833333,"CO2",0.978404164,NA,53,"""CPD-8192,  C18080,  C18083,  C08762,  C11492,  C01517,  CPD-9838,  C09918,  HMDB01923,  C09947,  C10255,  C10253"""
54,151.0633402,6.48014010166667,"bp",0.973821042,1,54,"""C06804,  CPD0-1408,  HMDB12219,  HMDB02210,  CPD-2205,  D-PHENYLGLYCINE,  C03522,  C17756,  C17755,  C03005,  StdMix1_15,  CPD-10523,  HMDB01859,  R-MANDELAMIDE,  C07301,  CPD-1041,  C02709,  CPD-7669,  C04350,  C04353,  C16571"""
55,218.0371118,10.4510760683333,"potential bp",0.989464722,NA,55,""
56,146.0691387,10.580308035,"bp",0.968109064,1,56,"""ISOGLUTAMINE,  GLN,  CPD0-1914,  ALA-GLY,  HMDB00641,  PEPTIDE_129,  HMDB02031,  HMDB06899,  StdMix1_30,  glutamine,  C05100,  C00819,  C00303,  StdMix2_40,  C00064,  HMDB03423,  CONTAMINANTDB_0041,  GLUTAMIDE,  C16673"""
57,188.0798155,8.28536845166667,"bp",0.952880884,1,57,"""HMDB06029,  HMDB11173,  StdMix2_67"""
58,165.0790955,8.39565659166667,"bp",0.981866691,1,58,"""C18090,  HMDB00159,  PHE,  CPD0-1380,  phenylalanine,  HMDB04992,  4-3-PYRIDYL-BUTANOATE,  StdMix1_12,  HMDB06044,  C07527,  STD_PHENYLALANINE,  HMDB01007,  CPD-216,  C00079,  C02265,  C02057"""
59,170.0732306,4.36716261833333,"fragment?",0.976657072,NA,59,"""CPD-946,  C14224,  C02499,  C14342"""
60,169.8435721,10.1919882066667,"fragment?",0.978909772,NA,60,""
61,213.0097201,7.094605065,"bp",0.932157991,1,61,"HMDB00682"
62,174.0681009,4.27174083833333,"176.08-H2",0.97539147,NA,62,"""MENADIOL,  C07126,  C12344,  CPD-11688,  C14084"""
63,257.243708,3.69841388333333,"255.23+H2",0.995631243,NA,63,""
64,296.0354666,9.98314767166667,"bp",0.969987376,1,64,""
65,164.0685447,9.36695837166667,"bp",0.975132609,1,65,"""fucose,  HMDB00849,  HMDB10207,  CPD0-1936,  C08352,  CPD-11899,  C08259,  C08258,  HMDB00174,  CPD0-1112,  CPD0-1107,  HMDB02712,  HMDB12327,  C01721,  C01684,  L-FUCULOSE,  deoxygalactopyranose,  RHAMNOSE,  CPD-10329,  D-FUCOSE,  C01018,  C01019,  StdMix1_67,  15-ANHYDRO-D-GLUCITOL,  3, 4, 5-trihydroxy-hexanoic acid,  CPD-9446,  1, 5-Anhydrosorbitol,  2-DEOXY-D-GLUCOSE,  CPD0-2049,  CPD-10543,  C07326,  C00861,  rhamnose,  CPD-3613,  L-RHAMNOFURANOSE,  C00586,  C00507,  StdMix2_89,  C02522,  C02781,  C02431,  C02476,  HMDB03081,  6-DEOXY-D-GLUCOSE,  C02338,  CPD-5861,  C02095,  RHAMNULOSE,  C16538"""
66,192.0271229,11.6254796933333,"bp",0.992710498,1,66,"""CPD0-1612,  CIT,  HMDB00094,  HMDB00193,  threo-d(s)-iso-citrate,  C03921,  C03600,  HMDB06511,  HMDB01874,  5-KETO-4-DEOXY-D-GLUCARATE,  THREO-DS-ISO-CITRATE,  C00451,  C00311,  C00679,  StdMix2_85,  CPD-13907,  HMDB05971,  C02780,  C00158,  C04617,  C04575"""
67,228.2091124,3.693593855,"bp",0.980024196,1,67,"""C06424,  HMDB00806,  HMDB02221"""
68,116.0473559,4.92152402333333,"118.06-H2",0.909810824,NA,68,"""C06255,  HMDB00720,  HMDB00019,  HMDB12233,  HMDB00310,  2-keto-isovalerate,  C03273,  CPD0-2053,  HMDB01865,  HMDB03771,  2-KETO-ISOVALERATE,  C00141,  C02233,  CPD-7705"""
69,188.0144204,4.92420585666667,"bp",0.998112369,1,69,"C06678"
70,97.97693822,10.2582787833333,"bp",0.997599851,1,70,"""StdMix3_13,  HMDB02142,  phosphoric acid,  C00009"""
71,160.1252442,3.874511565,"formic acid",0.970666055,NA,71,""
72,88.01588012,7.15163142166667,"fragment?",0.990864003,NA,72,"""HMDB00243,  StdMix1_58,  MALONATE-S-ALD,  PYRUVATE,  HMDB11111,  C00022,  C12069,  C00222"""
73,171.0810749,4.257439335,"fragment?",0.963810555,NA,73,""
74,168.0283049,9.43749147333333,"bp",0.983697617,1,74,"""uric acid,  HMDB00289,  C00367,  C00366"""
75,86.03656596,10.7351576566667,"bp",0.983924329,1,75,"""HMDB10720,  C16267,  HMDB00549,  C01770,  C01771,  HMDB02523,  C00741,  DIACETYL,  HMDB03407,  2-BUTYNE-14-DIOL,  C16835,  C02497"""
76,310.1205177,3.67265506166667,"308.10+H2",0.959444451,NA,76,"C15051"
77,232.0236482,7.078675015,"potential bp",0.949216997,NA,77,"""C13669,  C13668"""
78,196.0583093,9.90436131333333,"bp",0.983177664,1,78,"""galactonic acid,  HMDB00565,  HMDB00625,  L-IDONATE,  C15930,  C15931,  D-GALACTONATE,  StdMix1_70,  C03215,  gulonic acid,  C00880,  C00770,  C00800,  C00817,  C00514,  GLUCONATE,  HMDB03290,  C00257,  gluconic acid"""
79,288.0594244,9.26887438333333,"potential bp",0.971256485,NA,79,"""HMDB00788,  StdMix2_72"""
80,195.053209,7.091583685,"bp",0.981984088,1,80,"""C04274,  HMDB00840,  PNP-PROPIONATE,  HMDB02404,  HMDB02016,  HMDB04067,  CPD-6404,  C05604,  C05605,  C05606,  DOPAQUINONE,  HMDB06116,  C07588,  C00822,  HMDB01229"""
81,308.1049885,3.67769454666667,"310.12-H2",0.959892691,NA,81,"""C01541,  HMDB02114,  C17743,  CPD-12188,  HMDB01935"""
82,115.9435594,22.7085808,"bp",0.99621246,1,82,""
83,136.0371936,9.31776343166667,"bp",0.983283806,1,83,"""HMDB00943,  HMDB00613,  C01620"""
84,463.1845878,4.45373800666667,"bp",0.982024134,1,84,""
85,117.0789451,9.52266928333333,"bp",0.980986817,1,85,"""CPD-8140,  HMDB00883,  CPD-6142,  CPD0-1950,  BETAINE,  C06417,  HMDB00043,  C01799,  VAL,  C01826,  C15987,  5-AMINOPENTANOATE,  HMDB02141,  C03571,  L-2-AMINOPENTANOIC-ACID,  StdMix1_20,  C07457,  HMDB01382,  C00719,  valine,  C00431,  CPD-124,  CPD-3642,  STD_VALINE,  StdMix2_24,  HMDB03355,  C00183,  C16436"""
86,180.0634555,10.682935585,"bp",0.991291476,1,86,"""PSICOSE,  FRU,  C06153,  C06152,  GLC,  DE-O-GLUCONATE,  C06465,  C06466,  C06464,  C06467,  C06468,  gulose,  C08351,  C08356,  HMDB00516,  mannose,  HMDB00660,  CPD-8061,  CPD-8060,  CPD-8059,  CPD-8055,  CPD-8054,  CPD-8053,  CPD-8052,  CPD-8050,  CPD0-1200,  TAGATOSE,  HMDB00169,  HMDB00143,  HMDB00122,  HMDB00211,  galactose,  HMDB12326,  HMDB00346,  C01719,  C01720,  C01662,  C01680,  C01934,  C01825,  CPD-12601,  C01906,  C15923,  StdMix3_12,  C01383,  D-TALOSE,  C01582,  C01452,  C01487,  allose,  CPD1UA-5654,  fructose,  StdMix1_85,  ALTROSE,  L-GALACTOSE,  CPD-9569,  CPD-9570,  CPD4FS-6,  HMDB06088,  tagatose,  ALPHA-D-GALACTOSE,  ALPHA-GLUCOSE,  C05003,  C05005,  glucose,  C10906,  CPD-10723,  CPD-10726,  CPD-10727,  CPD-10725,  CPD-10729,  CPD-10730,  CPD0-2485,  CPD0-2486,  C00936,  C00795,  myoinositol,  C00738,  C00737,  C00764,  sorbose,  C00962,  C00984,  CPD-3607,  HMDB01151,  ALLOSE,  IDOSE,  HMDB01266,  scyllytol,  C00031,  C00095,  C00221,  HMDB03345,  C00247,  C00267,  CPD-11613,  CPD-11611,  HMDB03449,  HMDB03418,  MYO-INOSITOL,  BETA-D-FRUCTOSE,  C02782,  C00124,  GULOSE,  C00139,  C00138,  C00137,  C00159,  deoxyarabinohexonic acid,  C02209,  C02210,  D-HAMAMELOSE,  GALACTOSE,  C02336,  MANNOSE"""
87,399.0722691,4.03746807833333,"bp|C13 isotope #1",0.977214693,NA,87,"CPD-10170"
88,97.96724568,11.8190293366667,"bp",0.954182945,1,88,"C00059"
89,131.0946144,8.75678070666667,"bp",0.974975872,1,89,"""STD_LEUCINE,  CPD-8146,  CPD-6181,  C06418,  ILE,  C08263,  LEU,  HMDB00557,  HMDB00687,  HMDB00172,  CPD0-1059,  C01933,  CPD-2041,  C01570,  L-2-AMINOHEXANOATE,  isoleucine,  StdMix1_13,  CPD-12149,  CPD-12150,  HMDB01901,  HMDB01645,  C00407,  HMDB03640,  leucine,  StdMix2_19,  CPD-884,  C00123,  C02486,  C02378,  C16434,  C16439,  C16647"""
90,398.0686161,4.31584375666667,"bp",0.996407521,1,90,"C07316"
91,139.0350601,4.68051856,"bp|C13 isotope #1",0.961526688,NA,91,""
92,298.2510351,3.45330875333333,"bp",0.979891379,2,92,"""HMDB10736,  C08365,  C13791,  C00869,  oxooctadecanoic acid"""
93,104.0472946,7.260345485,"bp",0.994108943,1,93,"""C06001,  HMDB00442,  HMDB00729,  HMDB00710,  HMDB00023,  HMDB00011,  HMDB00008,  HMDB00336,  HMDB00357,  C01991,  CPD-6485,  C01188,  C01089,  C03197,  C05984,  StdMix1_51,  C00989,  CPD-3621,  3-HYDROXY-ISOBUTYRATE,  CPD-335,  C14601,  3-hydroxy-isobutyrate"""
94,112.0272788,8.37162135166667,"CO2",0.978839576,NA,94,"""HMDB00300,  URACIL,  StdMix2_9,  C00106,  uracil"""
95,115.0632573,9.70526733333333,"bp",0.976531038,1,95,"""CPD-8148,  C18170,  HMDB00162,  PRO,  STD_PROLINE,  StdMix1_22,  D-PROLINE,  CPD-10687,  proline,  C00763,  HMDB03411,  C00148,  C16435"""
96,173.9987166,4.789508565,"potential bp",0.993862626,NA,96,"""C00851,  C00850,  C12849,  C12851,  C12852,  C12850,  C02180"""
97,176.0837738,4.264062595,"174.07+H2",0.972649391,NA,97,"""C06359,  C08453,  CPD0-1061,  C10389,  C12299,  C14102,  C14111,  C14083"""
98,179.0583327,6.91531051166667,"bp",0.96325204,1,98,"""HMDB00992,  C06339,  C06332,  HMDB00714,  256-TRIHYDROXY-56-DIHYDROQUINOLINE,  C01587,  C01586,  CPD-3192"""
99,131.0946135,8.74230514666667,"bp",0.976352905,1,99,"""STD_LEUCINE,  CPD-8146,  CPD-6181,  C06418,  ILE,  C08263,  LEU,  HMDB00557,  HMDB00687,  HMDB00172,  CPD0-1059,  C01933,  CPD-2041,  C01570,  L-2-AMINOHEXANOATE,  isoleucine,  StdMix1_13,  CPD-12149,  CPD-12150,  HMDB01901,  HMDB01645,  C00407,  HMDB03640,  leucine,  StdMix2_19,  CPD-884,  C00123,  C02486,  C02378,  C16434,  C16439,  C16647"""
100,146.0215539,7.03536329166667,"fragment?",0.945871059,NA,100,"""C06030,  C06316,  HMDB00208,  C03716,  2-ketoglutaric acid,  R-2-HYDROXYGLUTARATE,  CPD-7066,  S-CITRAMALATE,  C05407,  C05406,  CPD-381,  StdMix2_66,  C00026,  CPD-31,  2-KETOGLUTARATE"""
101,130.0266533,11.83684296,"bp",0.965386072,1,101,"""GLUTARATE,  glutaconic acid,  HMDB00634,  HMDB00620,  HMDB00749,  C01732,  HMDB02092,  CPD-2461,  itaconic acid,  C00433,  C00490,  StdMix3_7,  citraconic acid,  StdMix2_61,  CPD-654,  mesaconic acid,  C02800,  C02214,  C02226,  C02132"""
102,240.0999513,4.86178236,"bp",0.842944087,1,102,""
103,217.6135901,3.87548478,"potential bp",0.945953149,NA,103,""
104,225.0692683,3.93056999666667,"bp",0.973224194,2,104,""
105,435.2271844,3.88021698,"potential bp",0.945081517,NA,105,""
106,121.0019924,7.33889926666667,"fragment?",0.995075097,NA,106,""
107,158.0037946,6.80667921666667,"fragment?",0.941931161,NA,107,"BENZENESULFONATE"
108,220.0527901,10.2530428633333,"potential bp",0.962059257,NA,108,""
109,195.0532125,7.058294025,"oxidation/reduction",0.988651254,NA,109,"""C04274,  HMDB00840,  PNP-PROPIONATE,  HMDB02404,  HMDB02016,  HMDB04067,  CPD-6404,  C05604,  C05605,  C05606,  DOPAQUINONE,  HMDB06116,  C07588,  C00822,  HMDB01229"""
110,292.0715284,4.85806036166667,"bp|C13 isotope #1",0.973293103,NA,110,""
111,259.9894822,10.60156529,"bp",0.987309438,1,111,""
112,261.9874611,10.601622515,"potential bp",0.987653304,NA,112,""
113,244.0696018,8.41453441,"potential bp",0.971573907,NA,113,"""HMDB00767,  HMDB00296,  StdMix1_65,  CPD-497,  C00299,  C16745,  URIDINE,  C02067,  C02068,  C02069"""
114,278.2245978,3.63956033333333,"280.24-H2",0.980455089,NA,114,"""alpha/gamma-linolenic acid,  C06427,  C06426,  C08315,  C08364,  C15201,  C07289,  HMDB01388,  HMDB03073"""
115,147.0531804,10.1570628333333,"bp",0.976803295,1,115,"""GLT,  ACETYLSERINE,  HMDB00148,  HMDB02931,  HMDB02393,  StdMix3_24,  C03791,  C03790,  C03618,  C05938,  C05941,  StdMix1_84,  HMDB06556,  C05574,  STD_GLUTAMIC_ACID,  2-KETO-4-HYDROXY-5-AMINO-VALERATE,  glutamic acid,  CPD-10705,  C00979,  C00302,  D-GLT,  acetyl-serine,  C00025,  C00217,  L-4-HYDROXYGLUTAMATE_SEMIALDEHYDE,  HMDB03339,  C12269,  HMDB03011"""
116,196.0564014,7.16175722166667,"potential bp",0.949349172,NA,116,""
117,281.243553,3.63038781666667,"279.23+H2",0.980970463,NA,117,""
118,135.0545554,7.98582810833333,"bp",0.974468539,1,118,"""HMDB00034,  adenine,  StdMix1_21,  ADENINE,  C00147"""
119,135.0143159,4.79246750166667,"fragment?",0.953285161,NA,119,""
120,175.8361558,10.193900545,"potential bp|N15 isotope #1",0.97229605,NA,120,""
121,230.0613184,3.66410367,"fragment?",0.940482021,NA,121,""
122,205.0959048,3.96310590833333,"fragment?",0.972509848,NA,122,""
123,200.1777502,3.77725203333333,"bp",0.972393145,1,123,"""HMDB00638,  C02679"""
124,113.0589388,8.35211826666667,"bp",0.973871432,1,124,"""HMDB00562,  STD_CREATININE,  StdMix1_26,  C00791,  CREATININE,  creatinine"""
125,557.3334367,4.63619265333333,"bp",0.985986026,1,125,""
126,173.9987528,4.83291277,"bp",0.996993599,1,126,"""C00851,  C00850,  C12849,  C12851,  C12852,  C12850,  C02180"""
127,187.1079314,4.25802552,"bp|C13 isotope #1",0.967466124,NA,127,""
128,144.1150445,4.261673325,"bp",0.986582082,1,128,"""C06423,  HMDB00482,  CPD-10093,  CPD-9422,  HMDB01877,  C07185,  C07186,  CPD-195"""
129,479.1792691,4.87251679166667,"potential bp",0.966806246,NA,129,""
130,136.9969057,7.11169380666667,"bp",0.976191526,1,130,""
131,327.0957043,8.67242833833333,"bp",0.985102032,1,131,"HMDB10316"
132,175.019839,11.7122398033333,"bp|C13 isotope #1",0.969401248,NA,132,""
133,261.0307235,7.05718018666667,"potential bp",0.939252228,NA,133,""
134,301.189113,4.884288675,"bp",0.95071249,1,134,""
135,264.1110349,4.91958536166667,"bp",0.921939757,1,135,"""C04148,  HMDB04259,  HMDB06344,  C05642,  CPD-12022,  C05597"""
136,90.03155383,10.676185945,"88.02+H2",0.992843253,NA,136,"""3-HYDROXY-PROPIONATE,  L-GLYCERALDEHYDE,  HMDB00700,  HMDB00190,  C01432,  C01013,  D-LACTATE,  DIHYDROXYACETONE,  HMDB01882,  L-LACTATE,  HMDB01311,  HMDB01051,  C00577,  StdMix2_91,  GLYCERALD,  C00256,  C00186,  C00184,  C02154,  C02426,  StdMix1_104"""
137,232.0042626,4.01751291833333,"potential bp",0.958257434,NA,137,""
138,285.2749182,3.63563497333333,"283.26+H2",0.987291395,NA,138,""
139,172.1464347,3.89397710833333,"bp",0.977295096,1,139,"""HMDB00511,  PARA-MENTHANE-38-DIOL,  C01571,  C02904,  C12289,  C12292"""
140,268.0808418,8.82435743833333,"bp",0.96888887,1,140,"""HMDB00481,  HMDB00195,  INOSINE,  StdMix1_11,  C00294,  HMDB03040"""
141,292.1318713,3.57398142833333,"bp",0.964048104,2,141,"C11740"
142,92.04721088,8.722001565,"bp",0.978065904,1,142,"""GLYCEROL,  HMDB00131,  StdMix1_10,  C00116"""
143,291.0679426,5.36380303666667,"bp",0.993997903,1,143,""
144,326.1327272,10.5906733933333,"hexose",0.951316772,NA,144,"C15056"
145,297.2431711,3.437399895,"295.23+H2",0.974762867,NA,145,"""2-OXOSTEARATE,  CPD-12193,  CPD-10514,  18-HYDROXYOLEATE"""
146,195.0532227,5.67196126,"bp",0.994099877,1,146,"""C04274,  HMDB00840,  PNP-PROPIONATE,  HMDB02404,  HMDB02016,  HMDB04067,  CPD-6404,  C05604,  C05605,  C05606,  DOPAQUINONE,  HMDB06116,  C07588,  C00822,  HMDB01229"""
147,185.0603394,4.25713116,"fragment?",0.969750092,NA,147,""
148,189.9937074,5.203336615,"bp",0.9924371,1,148,"""C06674,  C06336"""
149,152.0473719,4.91860238,"HCN (nitrile compounds)",0.970895115,NA,149,"""C04043,  CPD-8489,  HMDB00440,  HMDB00669,  HMDB00703,  HMDB00020,  4-HYDROXYPHENYLACETATE,  HMDB12308,  HMDB04815,  C13636,  C13635,  HMDB02390,  C01983,  C01984,  C01985,  VANILLIN,  CPD-6442,  C03663,  C17900,  StdMix1_98,  C05852,  C05593,  C10675,  C10804,  C00755,  CPD-121,  CPD-122,  C12305,  HMDB03791,  C00642,  HMDB01101,  CPD-242,  C02639,  C02657,  C12064,  C02519,  C02181,  C14108,  C14103,  C14088,  34-DIHYDROXYPHENYLACETALDEHYDE"""
150,246.0892928,4.17072528666667,"bp",0.973763826,1,150,"""CPD-8191,  C17672,  CPD-9799,  C09259,  C09278,  C09276,  C09210"""
151,117.94178,22.6766213833333,"potential bp",0.994738822,NA,151,""
152,222.1257203,4.48185187333333,"potential bp",0.957549141,NA,152,"""C04223,  --6-HYDROXY-3-OXO-ALPHA-IONONE,  C02533"""
